ais_status,date_folder,cell_folder,protocol,file_name,session_start_time
True,27 Sep 2021,C3,SF,21610007.abf,2021-06-10T16:46:10
True,27 Sep 2021,C3,CS,21927008.abf,2021-09-27T15:45:20
True,27 Sep 2021,C3,ADP,21927009.abf,2021-09-27T15:47:23
True,27 Sep 2021,C4,SF,21927066.abf,2021-09-27T17:21:43
True,27 Sep 2021,C4,ADP,21927067.abf,2021-09-27T17:22:53
True,27 Sep 2021,C4,CS,21927068.abf,2021-09-27T17:24:24
True,27 Sep 2021,C5,SF,2021_09_27_0016.abf,2021-09-27T18:55:14
True,27 Sep 2021,C5,CS,2021_09_27_0017.abf,2021-09-27T18:57:16
True,27 Sep 2021,C5,ADP,2021_09_27_0019.abf,2021-09-27T18:59:36
True,27 Sep 2021,C6,SF,2021_09_27_0053.abf,2021-09-27T21:06:01
True,27 Sep 2021,C6,CS,2021_09_27_0054.abf,2021-09-27T21:09:14
True,27 Sep 2021,C6,ADP,2021_09_27_0056.abf,2021-09-27T21:11:45
True,27 Sep 2021,C7,SF,monk_sep27__0006.abf,2021-09-27T18:11:24
True,27 Sep 2021,C7,ADP,monk_sep27__0007.abf,2021-09-27T18:12:27
True,27 Sep 2021,C7,CS,monk_sep27__0008.abf,2021-09-27T18:13:28
True,27 Sep 2021,C8,ADP,monk_sep27__0016.abf,2021-09-27T18:35:06
True,27 Sep 2021,C8,CS,monk_sep27__0017.abf,2021-09-27T18:36:18
True,27 Sep 2021,C9,SF,monk_sep27__0022.abf,2021-09-27T19:26:34
True,27 Sep 2021,C9,CS,monk_sep27__0023.abf,2021-09-27T19:28:20
True,27 Sep 2021,C9,ADP,monk_sep27__0024.abf,2021-09-27T19:30:33
True,28 Sep 2021,C10,SF,21928001.abf,2021-09-28T15:16:53
True,28 Sep 2021,C10,CS,21928002.abf,2021-09-28T15:28:00
True,28 Sep 2021,C10,ADP,21928003.abf,2021-09-28T15:30:45
True,28 Sep 2021,C11,SF,2021_09_28_0063.abf,2021-09-28T19:31:49
True,28 Sep 2021,C11,CS,2021_09_28_0064.abf,2021-09-28T19:36:23
True,28 Sep 2021,C11,CS,2021_09_28_0065.abf,2021-09-28T19:37:35
True,28 Sep 2021,C11,ADP,2021_09_28_0066.abf,2021-09-28T19:38:48
True,3 Nov 2021,C12,SF,21n03002.abf,2021-11-03T13:26:31
True,3 Nov 2021,C12,CS,21n03003.abf,2021-11-03T13:28:11
True,3 Nov 2021,C12,ADP,21n03004.abf,2021-11-03T13:32:09
True,7 Dec 2021,C13,SF,21d07017.abf,2021-12-07T18:37:58
True,7 Dec 2021,C13,CS,21d07018.abf,2021-12-07T18:40:54
True,7 Dec 2021,C13,ADP,21d07019.abf,2021-12-07T18:42:53
